,TeamA,TeamB,Stadium,Match_Day,Match_Time,Match_Date,TeamA_Position,TeamB_Position,Attendance,TeamA_goals,TeamB_goals
0,Al-Shabab Club (Riyadh),Najran SC,Prince Faisal bin Fahad Stadium,17,  4:30 PM, 2/18/16,5,12,687,3,2
0,Al-Ittihad Club (Jeddah),Al-Qadsiah FC,King Abdullah Sports City,17,  6:40 PM, 2/18/16,3,10,34044,1,1
0,Al-Khaleej,Hajer Club,Prince Saud bin Jalawi Stadium,17,  4:15 PM, 2/20/16,9,14,375,0,1
0,Al-Fateh,Al-Raed,Prince Abdullah bin Jalawi Stadium,17,  4:15 PM, 2/20/16,6,13,541,1,0
0,Al-Faisaly FC,Al-Wehda FC,Al Majma'ah Sports City Stadium,17,  6:40 PM, 2/20/16,8,11,220,2,1
0,Al-Shabab Club (Riyadh),Al-Fateh,King Fahd International Stadium,18,  4:30 PM, 2/25/16,5,8,810,1,0
0,Al-Taawoun FC,Al-Khaleej,King Abdullah Sport City Stadium,18,  4:40 PM, 2/25/16,4,9,3981,2,3
0,Hajer Club,Al-Faisaly FC,Prince Abdullah bin Jalawi Stadium,18,  4:20 PM, 2/26/16,14,6,1026,0,1
0,Al-Raed,Al-Qadsiah FC,King Abdullah Sport City Stadium,18,  4:40 PM, 2/26/16,13,12,2474,2,1
0,Al-Nassr Riad,Al-Wehda FC,King Fahd International Stadium,18,  6:40 PM, 2/26/16,7,11,3096,1,1
0,Al-Ahli Saudi FC,Najran SC,King Abdullah Sports City,18,  6:20 PM, 2/27/16,2,10,7144,1,2
0,Al-Hilal Saudi FC,Al-Ittihad Club (Jeddah),King Fahd International Stadium,18,  6:45 PM, 2/27/16,1,3,17020,0,1
0,Al-Khaleej,Al-Raed,Prince Saud bin Jalawi Stadium,19,  4:25 PM, 3/4/16,7,13,507,1,0
0,Al-Wehda FC,Hajer Club,King Abdul Aziz Stadium,19,  6:45 PM, 3/4/16,10,14,1056,1,0
0,Najran SC,Al-Taawoun FC,Al-Ukhdood Stadium,19,  6:45 PM, 3/4/16,11,4,293,1,1
0,Al-Faisaly FC,Al-Nassr Riad,Al Majma'ah Sports City Stadium,19,  4:45 PM, 3/5/16,6,8,1000,2,2
0,Al-Ittihad Club (Jeddah),Al-Fateh,King Abdullah Sports City,19,  6:45 PM, 3/5/16,3,9,14184,0,0
0,Al-Qadsiah FC,Al-Hilal Saudi FC,Prince Saud bin Jalawi Stadium,19,  4:25 PM, 3/6/16,12,2,12050,0,0
0,Al-Ahli Saudi FC,Al-Shabab Club (Riyadh),King Abdullah Sports City,19,  6:45 PM, 3/6/16,1,5,24101,3,1
0,Al-Hilal Saudi FC,Al-Nassr Riad,King Fahd International Stadium,20,  6:30 PM, 3/10/16,2,9,21824,2,0
0,Al-Qadsiah FC,Al-Ahli Saudi FC,Prince Mohamed bin Fahd Stadium,20,  4:25 PM, 3/11/16,13,1,4017,0,2
0,Najran SC,Al-Khaleej,Al-Ukhdood Stadium,20,  5:10 PM, 3/11/16,11,6,91,2,3
0,Al-Taawoun FC,Al-Shabab Club (Riyadh),King Abdullah Sport City Stadium,20,  6:45 PM, 3/11/16,4,5,7001,4,0
0,Al-Fateh,Al-Faisaly FC,Prince Abdullah bin Jalawi Stadium,20,  4:25 PM, 3/12/16,7,8,632,2,1
0,Al-Raed,Hajer Club,King Abdullah Sport City Stadium,20,  4:50 PM, 3/12/16,12,14,1474,2,1
0,Al-Ittihad Club (Jeddah),Al-Wehda FC,King Abdullah Sports City,20,  6:45 PM, 3/12/16,3,10,21556,0,2
0,Al-Raed,Al-Faisaly FC,King Abdullah Sport City Stadium,21,  6:00 PM, 4/1/16,11,9,3485,5,0
0,Al-Wehda FC,Al-Fateh,King Abdul Aziz Stadium,21,  8:00 PM, 4/1/16,10,6,802,1,3
0,Al-Nassr Riad,Al-Taawoun FC,King Fahd International Stadium,21,  8:00 PM, 4/1/16,8,4,2633,3,2
0,Al-Khaleej,Al-Hilal Saudi FC,Prince Mohamed bin Fahd Stadium,21,  5:35 PM, 4/2/16,7,2,6714,0,3
0,Al-Ahli Saudi FC,Al-Ittihad Club (Jeddah),King Abdullah Sports City,21,  8:00 PM, 4/2/16,1,3,31035,4,2
0,Hajer Club,Najran SC,Prince Abdullah bin Jalawi Stadium,21,  5:35 PM, 4/3/16,14,12,281,1,2
0,Al-Shabab Club (Riyadh),Al-Qadsiah FC,King Fahd International Stadium,21,  8:00 PM, 4/3/16,5,13,392,0,2
0,Al-Wehda FC,Al-Raed,King Abdul Aziz Stadium,22,  8:00 PM, 4/7/16,10,12,759,3,1
0,Al-Qadsiah FC,Najran SC,Prince Saud bin Jalawi Stadium,22,  5:40 PM, 4/8/16,11,13,1200,4,2
0,Al-Taawoun FC,Hajer Club,King Abdullah Sport City Stadium,22,  8:00 PM, 4/8/16,4,14,6734,4,0
