,TeamA,TeamB,Stadium,Round,TeamA_Position,TeamB_Position,Attendance,TeamA_win_sum,TeamA_loss_sum,sum_goals_A,TeamA_draw_sum,TeamB_win_sum,TeamB_loss_sum,sum_goals_B,TeamB_draw_sum,Match_hour,Match_minute,Match_month,Match_day,Match_year,Match_day_name,Match_date_hijri_day,Match_date_hijri_month,feelslike,feelslikemax,feelslikemin,temp max:,temp min:,humidity:,precip:,preciptype:,visibility:,solarradiation:,solarenergy:,uvindex:,windspeed:,conditions:,description:
160,Al-Hilal Saudi FC,Al-Ahli Saudi FC,King Fahd International Stadium,23,1,4,12348,8,2,28,1,7,3,27,1,7,45,4,15,2017,Saturday,18,7,30,36.2,23.8,39.8,23.8,12,0,,8.9,309.3,26.9,9,22.3,Clear,Clear conditions throughout the day.
174,Al-Raed,Al-Ahli Saudi FC,King Abdullah Sport City Stadium,25,5,2,10025,8,3,23,1,7,3,27,2,7,30,4,30,2017,Sunday,4,8,27.9,33.3,22,34.8,22,37.3,0,,8.7,262.6,22.7,9,29.5,Partially cloudy,Partly cloudy throughout the day.
14,Al-Taawoun FC,Al-Raed,King Abdullah Sport City Stadium,3,10,9,3501,0,1,0,0,0,0,0,0,5,45,9,16,2016,Friday,15,12,31.6,41.1,23,43,23,21.8,0,,10,311.6,26.9,10,14.8,Clear,Clear conditions throughout the day.
50,Al-Nassr Riad,Al-Raed,King Fahd International Stadium,8,2,7,5195,3,1,6,0,0,1,1,0,5,50,11,3,2016,Thursday,3,2,23.1,27.1,18.9,28,18.9,34.7,0,,7.5,234.8,20.4,8,18.4,Clear,Clear conditions throughout the day.
60,Al-Hilal Saudi FC,Al-Raed,King Fahd International Stadium,9,1,7,5132,2,2,7,0,0,2,2,0,5,45,11,20,2016,Sunday,20,2,18.9,26,11,27,11,27.9,0,,10,218.8,18.9,8,11.2,Clear,Clear conditions throughout the day.
72,Al-Qadsiah FC,Al-Raed,Prince Saud bin Jalawi Stadium,11,12,8,263,0,3,2,2,0,3,3,0,3,25,12,2,2016,Friday,3,3,24.9,29.3,21.9,29.2,21.9,67.7,0,,9.3,175.1,15.3,6,25.1,Clear,Clear conditions throughout the day.
81,Al-Ahli Saudi FC,Al-Raed,King Abdullah Sports City,12,3,8,11689,3,1,12,1,0,4,3,0,5,55,12,9,2016,Friday,10,3,26.9,32.1,23,30.9,23,59.6,0,,10,195.2,16.9,7,19.8,Clear,Clear conditions throughout the day.
97,Al-Ittihad Club (Jeddah),Al-Raed,King Abdullah Sports City,14,3,8,32800,4,2,12,0,0,5,3,0,5,45,12,23,2016,Friday,24,3,28.3,33.1,23,31.8,23,60.8,0,,10,186.4,16.1,7,18.5,Clear,Clear conditions throughout the day.
100,Al-Wehda FC,Al-Raed,King Abdul Aziz Stadium,15,13,8,309,2,4,14,0,0,6,5,0,7,50,12,30,2016,Friday,1,4,25.6,32.2,20,31,20,63.9,0,,10,199.4,17.2,7,18.4,Clear,Clear conditions throughout the day.
112,Al-Fateh,Al-Raed,Prince Abdullah bin Jalawi Stadium,17,12,8,1612,2,4,9,2,0,7,6,0,4,5,2,1,2017,Wednesday,4,5,17.4,22,13.1,22,13.1,37.7,0,,8.3,173.1,14.9,7,29.5,Clear,Clear conditions throughout the day.
128,Al-Faisaly FC,Al-Raed,Al Majma'ah Sports City Stadium,19,11,7,708,3,5,14,1,0,8,7,0,4,35,2,17,2017,Friday,20,5,10.7,17.8,3.2,17.8,6.6,41.2,0,,,255.8,22.1,9,29.2,Clear,Clear conditions throughout the day.
133,Ettifaq FC,Al-Raed,Prince Mohamed bin Fahd Stadium,20,9,6,1242,4,3,15,2,0,8,8,1,6,30,3,2,2017,Thursday,3,6,18.5,22.9,16.1,22.9,16.1,68.5,0,,8.9,167.7,14.4,7,24.2,Partially cloudy,Partly cloudy throughout the day.
180,Al-Khaleej,Al-Raed,Prince Saud bin Jalawi Stadium,26,13,5,602,2,6,17,4,1,8,9,1,7,50,5,4,2017,Thursday,8,8,34,41.6,27.2,42.5,27.2,33.7,0,,9.5,309,26.6,10,24.7,Clear,Clear conditions throughout the day.
92,Al-Orobah FC,Al-Taawoun FC,Al-Orobah Club Stadium,1,5,8,3741,0,0,0,0,0,0,0,0,6,40,8,15,2014,Friday,19,10,32.9,39,27.1,42,28,15,0,,9,335.8,28.9,10,22.3,Clear,Clear conditions throughout the day.
12,Hajer Club,Al-Taawoun FC,Prince Abdullah bin Jalawi Stadium,2,8,13,199,0,0,0,0,0,1,3,0,5,50,8,22,2014,Friday,26,10,37,47,29.8,47,31,18.2,0,,6.4,307.6,26.5,10,37.1,Clear,Clear conditions throughout the day.
83,Al-Raed,Al-Taawoun FC,King Abdullah Sport City Stadium,4,11,9,2531,0,1,1,0,0,2,3,0,7,25,9,11,2014,Thursday,16,11,35,40.8,28.8,42,30,21.7,0,,9.6,288.9,24.8,10,20.5,Partially cloudy,Partly cloudy throughout the day.
11,Al-Faisaly FC,Al-Taawoun FC,Al Majma'ah Sports City Stadium,6,6,9,183,2,0,3,0,0,2,3,1,5,30,9,27,2014,Saturday,3,12,28,34.8,21.5,37.8,21.5,16,0,,,286.9,24.7,10,16.9,Clear,Clear conditions throughout the day.
151,Al-Hilal Saudi FC,Al-Taawoun FC,King Fahd International Stadium,8,4,9,25000,3,1,9,1,0,2,5,2,6,50,12,9,2014,Tuesday,17,2,16.3,22.3,10,22.3,10,57.4,0,,9.4,197.8,16.9,7,17.5,Clear,Clear conditions throughout the day.
33,Al-Shabab Club (Riyadh),Al-Taawoun FC,King Fahd International Stadium,10,2,9,483,4,0,8,1,0,3,6,2,5,35,11,30,2014,Sunday,8,2,11.3,13.4,8.4,13.4,9.7,79.2,2.3,['rain'],8.9,130.5,11.3,6,14.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.
38,Al-Khaleej,Al-Taawoun FC,Prince Saud bin Jalawi Stadium,13,12,8,517,0,2,5,3,1,3,8,2,1,0,12,20,2014,Saturday,28,2,17,22.6,11,22.6,11,61,0,,9.9,184.4,15.9,7,14.4,Clear,Clear conditions throughout the day.
39,Najran SC,Al-Taawoun FC,Al-Ukhdood Stadium,16,11,6,531,2,3,7,1,2,3,11,2,2,5,2,19,2015,Thursday,30,4,25.4,31.5,18.9,34,18.9,17.4,0,,10,293.7,25.5,10,14.8,Clear,Clear conditions throughout the day.
47,Al-Fateh,Al-Taawoun FC,Prince Abdullah bin Jalawi Stadium,18,8,7,663,2,4,10,2,3,3,12,2,4,25,3,7,2015,Saturday,16,5,20.6,26.6,16,28,16,12.9,0,,10,247.4,21.5,9,25.9,Partially cloudy,Partly cloudy throughout the day.
2,Al-Shoalah FC,Al-Taawoun FC,Al-Shoalah Club Stadium,20,14,7,73,2,5,9,2,3,4,12,2,4,45,3,22,2015,Sunday,2,6,25.1,30.5,18.8,32,18.8,48.5,0,,8.2,249.3,21.6,8,37.1,Partially cloudy,Partly cloudy throughout the day.
115,Al-Nassr Riad,Al-Taawoun FC,King Fahd International Stadium,22,1,8,6329,7,1,27,2,3,5,15,2,5,55,4,11,2015,Saturday,22,6,31.8,36,28.4,39,30.3,12.5,0,,5.2,295.2,25.5,10,32.3,Clear,Clear conditions throughout the day.
139,Al-Ittihad Club (Jeddah),Al-Taawoun FC,King Abdullah Sports City,24,4,8,13095,7,3,16,1,3,6,16,2,8,0,4,27,2015,Monday,8,7,30.9,35.7,25.5,34.7,25.5,52,0,,9.5,293,25.3,9,16.7,Clear,Clear conditions throughout the day.
141,Al-Ahli Saudi FC,Al-Taawoun FC,King Abdullah Sports City,25,2,9,16538,8,0,26,4,3,7,19,2,8,0,5,10,2015,Sunday,21,7,32.1,37.3,26.2,39.5,26.2,26.1,0,,10,331.8,28.7,10,21,Clear,Clear conditions throughout the day.
63,Al-Fateh,Al-Shabab Club (Riyadh),Prince Abdullah bin Jalawi Stadium,2,14,3,1176,0,0,0,0,0,0,0,0,7,45,8,23,2014,Saturday,27,10,36.4,46.2,28.2,46.2,30,12.8,0,,10,306.9,26.6,10,31.5,Clear,Clear conditions throughout the day.
152,Al-Ahli Saudi FC,Al-Shabab Club (Riyadh),King Abdullah Sports City,5,6,4,26183,2,0,8,0,1,0,2,0,7,20,9,17,2014,Wednesday,22,11,34.7,39.3,31.8,37.9,29.5,47.3,0,,10,132.2,11.4,4,19.5,Partially cloudy,Partly cloudy throughout the day.
142,Al-Hilal Saudi FC,Al-Shabab Club (Riyadh),King Fahd International Stadium,7,4,2,16721,3,0,9,1,1,0,2,1,6,55,10,17,2014,Friday,23,12,28.3,34.3,21.1,37,21.1,16.8,0,,10,259.5,22.5,9,18.4,Clear,Clear conditions throughout the day.
43,Al-Faisaly FC,Al-Shabab Club (Riyadh),Al Majma'ah Sports City Stadium,8,6,1,586,2,0,5,1,2,0,3,1,6,50,10,24,2014,Friday,30,12,25.7,32.5,18.4,35.2,18.4,20.2,0,,,241.3,20.8,8,19.8,Clear,Clear conditions throughout the day.
96,Al-Orobah FC,Al-Shabab Club (Riyadh),Al-Orobah Club Stadium,11,11,4,3924,2,0,9,2,3,0,6,1,1,30,12,5,2014,Friday,13,2,19.2,26.3,12.1,27,12.1,43.4,0,,10,160.9,13.8,6,22.3,Clear,Clear conditions throughout the day.
158,Al-Ittihad Club (Jeddah),Al-Shabab Club (Riyadh),King Abdullah Sports City,12,5,3,38153,4,1,7,1,3,0,6,2,5,40,12,12,2014,Friday,20,2,29.1,33.5,23,31.8,23,69.4,0,,9.9,192.6,16.6,7,14.5,Clear,Clear conditions throughout the day.
54,Al-Khaleej,Al-Shabab Club (Riyadh),Prince Saud bin Jalawi Stadium,14,11,4,906,0,3,5,3,4,0,7,2,6,30,2,5,2015,Thursday,16,4,18.9,24.9,14,24.9,14,58.9,0,,8.6,212.1,18.4,8,22,Clear,Clear conditions throughout the day.
60,Hajer Club,Al-Shabab Club (Riyadh),Prince Abdullah bin Jalawi Stadium,16,8,5,1087,4,3,8,1,4,1,7,2,4,15,2,19,2015,Thursday,30,4,21.5,28.7,12.9,30,12.9,53.4,0,,9.8,237.3,20.5,8,14.8,Clear,Clear conditions throughout the day.
25,Al-Shoalah FC,Al-Shabab Club (Riyadh),Al-Shoalah Club Stadium,17,14,5,386,2,4,8,2,4,1,11,3,2,5,2,28,2015,Saturday,9,5,15.9,25,5.1,25,7.5,23.8,0,,10,280.4,24.3,10,12.6,Partially cloudy,Partly cloudy throughout the day.
41,Najran SC,Al-Shabab Club (Riyadh),Al-Ukhdood Stadium,19,11,5,545,2,5,7,1,5,1,13,3,4,55,3,14,2015,Saturday,23,5,25.4,32.4,18,35,18,18.8,0,,9.7,306.2,26.6,10,18.4,Clear,Clear conditions throughout the day.
95,Al-Raed,Al-Shabab Club (Riyadh),King Abdullah Sport City Stadium,22,10,5,3896,4,5,14,1,5,2,14,3,6,0,4,11,2015,Saturday,22,6,30.3,35.4,25,36,25,33.1,0,,5.4,277.1,23.9,10,27.7,Partially cloudy,Partly cloudy throughout the day.
106,Al-Taawoun FC,Al-Shabab Club (Riyadh),King Abdullah Sport City Stadium,23,8,5,4432,3,5,13,2,5,3,15,3,6,5,4,17,2015,Friday,28,6,25.4,29.9,20.8,32,20.8,21.6,0,,4.7,304,26.2,10,42.5,Partially cloudy,Partly cloudy throughout the day.
170,Al-Nassr Riad,Al-Shabab Club (Riyadh),King Fahd International Stadium,26,1,5,59174,9,1,32,2,5,3,16,4,8,0,5,15,2015,Friday,26,7,31.4,36,26.7,38,28,18.3,0,,5.1,318.4,27.8,10,33.5,Clear,Clear conditions throughout the day.
94,Al-Shoalah FC,Al-Hilal Saudi FC,Al-Shoalah Club Stadium,1,11,3,3864,0,0,0,0,0,0,0,0,7,50,8,13,2014,Wednesday,17,10,33.8,44,26.7,44,28,10.4,0,,7.9,301.9,26.2,10,29.5,Partially cloudy,Partly cloudy throughout the day.
130,Al-Fateh,Al-Hilal Saudi FC,Prince Abdullah bin Jalawi Stadium,6,10,3,10560,0,2,1,0,1,0,3,0,7,15,9,24,2014,Wednesday,29,11,32.7,39.8,26.3,42.7,27,20.1,0,,9.1,286.3,24.7,10,38.9,Clear,Clear conditions throughout the day.
69,Al-Faisaly FC,Al-Hilal Saudi FC,Al Majma'ah Sports City Stadium,9,6,5,1444,2,1,6,1,2,0,5,0,6,15,1,28,2015,Wednesday,8,4,15.2,26.8,4,28.3,7,16.1,0,,,226.3,19.4,8,21.2,Clear,Clear conditions throughout the day.
173,Al-Ittihad Club (Jeddah),Al-Hilal Saudi FC,King Abdullah Sports City,10,4,5,60134,4,1,7,0,2,0,7,1,5,35,12,1,2014,Monday,9,2,26.5,31.1,23,31.3,23,49.5,0,,10,203.8,17.6,7,21.1,Clear,Clear conditions throughout the day.
149,Al-Nassr Riad,Al-Hilal Saudi FC,King Fahd International Stadium,12,1,4,20722,4,0,12,1,2,0,7,2,5,40,12,13,2014,Saturday,21,2,17.7,24,11,24,11,33.2,0,,10,203.3,17.6,8,13,Clear,Clear conditions throughout the day.
101,Hajer Club,Al-Hilal Saudi FC,Prince Abdullah bin Jalawi Stadium,13,7,4,4188,4,2,7,0,2,1,7,2,3,30,12,19,2014,Friday,27,2,14.5,22.9,7.4,22.9,8,45,0,,10,193.2,16.6,7,9.4,Clear,Clear conditions throughout the day.
116,Al-Orobah FC,Al-Hilal Saudi FC,Al-Orobah Club Stadium,15,11,3,6735,2,1,10,3,2,1,8,3,2,5,2,17,2015,Tuesday,28,4,12.2,18.8,6.8,18.8,8,55.6,0,,9.9,137,12.1,8,46.4,Partially cloudy,Partly cloudy throughout the day.
162,Al-Ahli Saudi FC,Al-Hilal Saudi FC,King Abdullah Sports City,16,2,4,45700,5,0,16,3,2,2,8,3,6,40,2,21,2015,Saturday,2,5,20,24.3,16.7,24.3,16.7,39.8,0,,10,261.2,22.6,9,20.1,Partially cloudy,Partly cloudy throughout the day.
80,Najran SC,Al-Hilal Saudi FC,Al-Ukhdood Stadium,17,12,4,2468,2,4,7,1,2,2,9,4,2,5,2,28,2015,Saturday,9,5,19.4,26,12.7,27,12.7,22.8,0,,6.7,301.5,26,10,14.8,Clear,Clear conditions throughout the day.
122,Al-Khaleej,Al-Hilal Saudi FC,Prince Saud bin Jalawi Stadium,18,11,4,8315,1,3,7,4,3,2,11,4,4,25,3,7,2015,Saturday,16,5,19.5,27.2,13.2,28.7,13.2,27.3,0,,10.1,266,23,9,27.5,Clear,Clear conditions throughout the day.
119,Al-Shabab Club (Riyadh),Al-Hilal Saudi FC,King Fahd International Stadium,20,5,4,7867,4,3,13,2,4,2,12,4,4,45,3,22,2015,Sunday,2,6,22.2,27.7,18,29,18,58.4,0,,7.5,257.8,22.2,9,37.1,Partially cloudy,Partly cloudy throughout the day.
117,Al-Taawoun FC,Al-Hilal Saudi FC,King Abdullah Sport City Stadium,21,7,3,6752,3,4,13,2,5,2,13,4,8,0,4,4,2015,Saturday,15,6,27.5,33.2,21,35.2,21,26.4,0,,8.3,320.6,27.6,10,24.1,Clear,Clear conditions throughout the day.
128,Al-Raed,Al-Hilal Saudi FC,King Abdullah Sport City Stadium,24,11,3,10120,5,5,17,1,6,2,14,4,8,0,4,26,2015,Sunday,7,7,22.4,26.7,16.4,28,16.4,23.6,0,,9.8,278.3,23.9,9,20.5,Clear,Clear conditions throughout the day.
76,Al-Shabab Club (Riyadh),Al-Khaleej,Prince Faisal bin Fahad Stadium,1,4,12,2250,0,0,0,0,0,0,0,0,7,50,8,16,2014,Saturday,20,10,35.1,44.7,26.6,44.7,28,9.8,0,,10,330.5,28.5,10,26.5,Clear,Clear conditions throughout the day.
146,Al-Ahli Saudi FC,Al-Khaleej,King Abdullah Sports City,4,6,12,19626,1,0,6,0,0,1,0,0,7,25,9,13,2014,Saturday,18,11,37,41.4,34.7,37.3,30,52.2,0,,10,257.3,22.2,9,20.1,Partially cloudy,Clearing in the afternoon.
131,Al-Hilal Saudi FC,Al-Khaleej,King Fahd International Stadium,5,3,14,10564,2,0,6,1,0,2,1,0,7,20,9,19,2014,Friday,24,11,29.5,34.9,23,37.7,23,15.4,0,,10,307.2,26.7,10,21,Clear,Clear conditions throughout the day.
157,Al-Ittihad Club (Jeddah),Al-Khaleej,King Abdullah Sports City,7,1,12,36515,3,0,5,0,0,3,1,0,6,55,10,17,2014,Friday,23,12,31.3,36,26,35.8,26,49.8,0,,10,240.3,20.7,9,20.1,Clear,Clear conditions throughout the day.
93,Al-Orobah FC,Al-Khaleej,Al-Orobah Club Stadium,8,8,13,3749,2,0,7,1,0,4,2,0,5,30,10,24,2014,Friday,30,12,23.7,29.8,17,32,17,22.8,0,,10,224.4,19.5,8,13,Clear,Clear conditions throughout the day.
56,Al-Raed,Al-Khaleej,King Abdullah Sport City Stadium,10,14,12,969,0,3,3,1,0,4,4,1,3,50,11,29,2014,Saturday,7,2,15,20,8.8,20,9.7,58.1,0,,10,187.8,16.2,7,16.6,Clear,Clear conditions throughout the day.
3,Al-Faisaly FC,Al-Khaleej,Al Majma'ah Sports City Stadium,12,6,11,79,2,1,8,2,1,4,6,1,1,0,12,12,2014,Friday,20,2,17.4,26,11,26,11,48.8,0,,,182.6,15.9,7,13,Clear,Clear conditions throughout the day.
20,Al-Shoalah FC,Al-Khaleej,Al-Shoalah Club Stadium,15,14,12,318,2,4,7,1,2,4,8,1,2,5,2,14,2015,Saturday,25,4,19.8,26,15,26,15,48.2,0,,5.4,221.7,19,8,20.5,Partially cloudy,Becoming cloudy in the afternoon.
134,Al-Nassr Riad,Al-Khaleej,King Fahd International Stadium,16,1,13,11369,5,0,15,2,2,4,9,2,6,30,2,20,2015,Friday,1,5,22,26.5,16.8,27.7,16.8,28,0,,6.3,254.5,22,9,37.1,Clear,Clear conditions throughout the day.
35,Hajer Club,Al-Khaleej,Prince Abdullah bin Jalawi Stadium,19,9,12,496,4,4,12,2,2,5,10,2,4,30,3,15,2015,Sunday,24,5,22.8,29,16.8,31.1,16.8,33.6,0,,10,194,16.6,7,20.5,Partially cloudy,Partly cloudy throughout the day.
21,Al-Fateh,Al-Khaleej,Prince Abdullah bin Jalawi Stadium,22,7,12,325,3,4,12,3,2,5,11,3,5,40,4,11,2015,Saturday,22,6,31.8,39,26,42.9,26,15,0,,7,302.7,26.2,10,35.3,Clear,Clear conditions throughout the day.
45,Najran SC,Al-Khaleej,Al-Ukhdood Stadium,24,12,9,642,3,5,10,2,2,6,11,3,6,0,4,25,2015,Saturday,6,7,26.5,32.4,18.9,35.1,18.9,14.2,0,,6.4,347.3,30,10,22.3,Clear,Clear conditions throughout the day.
13,Al-Taawoun FC,Al-Khaleej,King Abdullah Sport City Stadium,26,9,8,214,3,5,14,3,3,6,15,3,6,25,5,15,2015,Friday,26,7,31.4,37.8,23,38.2,23,28.1,0,,5.7,310,26.8,10,31.7,Partially cloudy,Partly cloudy throughout the day.
52,Al-Khaleej,Al-Shoalah FC,Prince Mohamed bin Fahd Stadium,2,10,9,765,0,0,0,0,0,0,0,0,5,50,8,22,2014,Friday,26,10,37.9,43.9,32.1,43.9,31,32,0,,8.2,302.4,26.2,10,42,Clear,Clear conditions throughout the day.
62,Al-Shabab Club (Riyadh),Al-Shoalah FC,King Fahd International Stadium,4,2,13,1159,2,0,4,0,0,0,1,1,7,25,9,12,2014,Friday,17,11,32.9,38.4,27.3,40.7,28.6,16,0,,9.8,269.6,23.3,9,16,Clear,Clear conditions throughout the day.
27,Al-Taawoun FC,Al-Shoalah FC,King Abdullah Sport City Stadium,7,9,14,400,0,1,1,1,0,1,2,1,6,55,10,16,2014,Thursday,22,12,29.9,37.1,24,39,24,33,0,,6.7,247.1,21.6,9,33.5,Partially cloudy,Partly cloudy throughout the day.
37,Najran SC,Al-Shoalah FC,Al-Ukhdood Stadium,9,8,13,510,0,2,2,1,0,2,2,1,4,10,10,31,2014,Friday,7,1,23.1,29.8,15.2,32,15.2,20.8,0,,10,262.3,22.5,9,18.4,Clear,Clear conditions throughout the day.
57,Al-Raed,Al-Shoalah FC,King Abdullah Sport City Stadium,12,14,13,1042,0,4,4,1,0,3,3,1,1,5,12,13,2014,Saturday,21,2,20.2,26.8,13,27,13,58.6,0,,10,183.7,16,7,16.6,Clear,Clear conditions throughout the day.
1,Al-Faisaly FC,Al-Shoalah FC,Al Majma'ah Sports City Stadium,13,6,13,66,2,2,9,2,0,4,3,1,1,15,12,19,2014,Friday,27,2,14.2,23.3,5.7,23.3,8.2,44.3,0,,,184.8,16,7,23.8,Partially cloudy,Becoming cloudy in the afternoon.
112,Al-Hilal Saudi FC,Al-Shoalah FC,King Fahd International Stadium,14,3,14,6090,5,1,15,1,0,4,3,2,6,30,2,6,2015,Friday,17,4,17.1,25,10.8,25,10.8,26.2,0,,10,231.1,20,8,9.4,Clear,Clear conditions throughout the day.
171,Al-Ittihad Club (Jeddah),Al-Shoalah FC,King Abdullah Sports City,16,3,14,59731,4,2,7,1,0,5,4,2,6,30,2,20,2015,Friday,1,5,22.7,26.5,19.7,26.5,19.7,48.2,0,,9.9,263.4,22.9,9,30.3,Partially cloudy,Becoming cloudy in the afternoon.
108,Al-Nassr Riad,Al-Shoalah FC,King Fahd International Stadium,18,1,14,5120,6,0,19,2,0,6,6,2,6,30,3,7,2015,Saturday,16,5,19.2,25,14,25,14,36.1,0.2,['rain'],9.7,224,19.2,8,18.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
143,Al-Ahli Saudi FC,Al-Shoalah FC,King Abdullah Sports City,19,2,14,17004,5,0,17,4,0,7,6,2,6,30,3,14,2015,Saturday,23,5,27.8,32.8,23.3,32.3,23.3,60.1,0,,10,269.3,23.3,9,22.1,Clear,Clear conditions throughout the day.
19,Al-Fateh,Al-Shoalah FC,Prince Abdullah bin Jalawi Stadium,21,8,14,313,3,4,12,2,0,8,6,2,5,40,4,4,2015,Saturday,15,6,25.4,32.4,17.7,35,17.7,28.3,0,,7.6,303,26,10,31.7,Clear,Clear conditions throughout the day.
81,Al-Orobah FC,Al-Shoalah FC,Al-Orobah Club Stadium,23,13,14,2476,3,5,14,3,0,8,6,3,6,25,4,18,2015,Saturday,29,6,20.7,26.6,13.1,28,13.1,17.5,0,,10,336.3,29,10,16.6,Clear,Clear conditions throughout the day.
51,Hajer Club,Al-Shoalah FC,Prince Abdullah bin Jalawi Stadium,24,10,14,743,4,5,13,3,0,9,6,3,5,50,4,25,2015,Saturday,6,7,24.6,28.2,21.2,30.1,21.2,19.4,0,,1.8,281.5,24.4,9,46.4,Clear,Clear conditions throughout the day.
61,Al-Shoalah FC,Al-Ittihad Club (Jeddah),Al-Shoalah Club Stadium,3,12,3,1100,0,1,1,0,0,0,0,0,5,55,8,31,2014,Sunday,5,11,34.7,44,27.5,44,29,12.7,0,,,319.2,27.7,10,13,Partially cloudy,Partly cloudy throughout the day.
73,Najran SC,Al-Ittihad Club (Jeddah),Al-Ukhdood Stadium,5,11,2,1920,0,0,1,1,1,0,3,0,7,20,9,19,2014,Friday,24,11,28.1,33.1,22,35.8,22,16.3,0,,9.8,318.7,27.4,10,25.9,Clear,Clear conditions throughout the day.
100,Al-Raed,Al-Ittihad Club (Jeddah),King Abdullah Sport City Stadium,6,13,2,4154,0,1,1,1,2,0,5,0,7,15,9,26,2014,Friday,2,12,31,38.8,23,40.1,23,27.7,0,,10,281.3,24.3,9,14.8,Clear,Clear conditions throughout the day.
140,Al-Nassr Riad,Al-Ittihad Club (Jeddah),King Fahd International Stadium,8,2,3,13360,3,0,10,0,3,0,6,0,7,0,10,25,2014,Saturday,1,1,26.5,32.5,20.8,35,20.8,22.8,0,,8.8,248.6,21.5,9,13,Clear,Clear conditions throughout the day.
89,Al-Taawoun FC,Al-Ittihad Club (Jeddah),King Abdullah Sport City Stadium,11,8,5,3249,1,2,4,1,3,1,7,0,1,20,12,5,2014,Friday,13,2,17.7,25,11,25,11,71.1,0,,10,85,7.3,3,14.8,Partially cloudy,Partly cloudy throughout the day.
168,Al-Ahli Saudi FC,Al-Ittihad Club (Jeddah),King Abdullah Sports City,13,2,5,59026,4,0,13,2,3,2,10,0,6,15,12,19,2014,Friday,27,2,27.8,32.4,22.3,31.5,22.3,64.9,0,,9.8,194.6,16.9,7,16.5,Clear,Clear conditions throughout the day.
123,Al-Fateh,Al-Ittihad Club (Jeddah),Prince Abdullah bin Jalawi Stadium,14,10,5,8493,2,4,7,0,3,2,11,1,4,5,2,6,2015,Friday,17,4,17.5,25.1,12.8,25.1,12.8,33.9,0,,10,222.5,19.1,8,29.5,Clear,Clear conditions throughout the day.
59,Al-Faisaly FC,Al-Ittihad Club (Jeddah),Al Majma'ah Sports City Stadium,15,7,5,1064,2,2,9,3,3,2,13,2,4,30,2,12,2015,Thursday,23,4,19.6,25,13.4,25,13.4,22.9,0,,,231.7,20.3,8,27,Partially cloudy,Partly cloudy throughout the day.
113,Al-Orobah FC,Al-Ittihad Club (Jeddah),Al-Orobah Club Stadium,17,13,3,6200,3,1,11,3,4,2,16,2,2,10,2,27,2015,Friday,8,5,14.6,23,4.4,23,6,32,0,,10,259.1,22.2,9,18.4,Clear,Clear conditions throughout the day.
126,Al-Khaleej,Al-Ittihad Club (Jeddah),Al-Qadasiya Club Stadium,20,12,3,9223,1,4,7,4,5,2,17,2,4,30,3,21,2015,Saturday,1,6,25.2,31.1,21.8,32.7,21.8,62.1,0,,8.6,259.4,22.3,9,24.7,Partially cloudy,Partly cloudy throughout the day.
104,Hajer Club,Al-Ittihad Club (Jeddah),Prince Abdullah bin Jalawi Stadium,22,9,4,4300,4,4,13,3,6,2,18,2,7,30,4,9,2015,Thursday,20,6,28.1,35.8,21.1,38.7,21.1,18.9,0,,9.3,281.1,24.3,9,22.3,Clear,Clear conditions throughout the day.
159,Al-Hilal Saudi FC,Al-Ittihad Club (Jeddah),King Fahd International Stadium,23,3,4,40370,8,1,23,1,7,2,19,2,8,10,4,17,2015,Friday,28,6,27.6,33.2,23,35.9,23,15,0,,3.7,315.3,27.3,10,31.7,Clear,Clear conditions throughout the day.
85,Al-Shabab Club (Riyadh),Al-Ittihad Club (Jeddah),King Fahd International Stadium,25,5,4,2680,6,4,18,2,7,3,19,2,8,0,5,10,2015,Sunday,21,7,30.3,35,24,38,24,11.8,0,,9.9,351.3,30.1,10,25.9,Clear,Clear conditions throughout the day.
167,Al-Ittihad Club (Jeddah),Al-Fateh,King Abdullah Sports City,1,6,10,58896,0,0,0,0,0,0,0,0,7,50,8,13,2014,Wednesday,17,10,35.2,44,26.7,44,27,22.6,0,,10,333.8,28.8,10,18.4,Clear,Clear conditions throughout the day.
125,Al-Nassr Riad,Al-Fateh,King Fahd International Stadium,4,1,14,9164,1,0,4,0,0,1,0,0,7,25,9,13,2014,Saturday,18,11,32.2,37.2,26,40,26,15.2,0,,10,257,22.3,9,14.8,Partially cloudy,Partly cloudy throughout the day.
22,Al-Taawoun FC,Al-Fateh,King Abdullah Sport City Stadium,5,10,9,335,0,0,0,1,0,2,2,0,7,20,9,18,2014,Thursday,23,11,30.8,37.7,22.8,39,22.8,22.8,0,,10,301.4,26.1,10,14.8,Clear,Clear conditions throughout the day.
4,Al-Shoalah FC,Al-Fateh,Al-Shoalah Club Stadium,8,12,10,100,0,4,3,0,1,2,4,0,5,0,10,25,2014,Saturday,1,1,27.6,34.3,19.8,37,19.8,21.9,0,,,247.5,21.5,9,11.2,Clear,Clear conditions throughout the day.
8,Al-Khaleej,Al-Fateh,Prince Mohamed bin Fahd Stadium,9,12,10,155,0,1,3,2,1,3,4,0,3,35,10,30,2014,Thursday,6,1,29.7,33.6,23.1,34,23.1,52,0,,9.9,212.8,18.4,8,16.6,Clear,Clear conditions throughout the day.
