,TeamA,TeamB,Stadium,Round,TeamA_Position,TeamB_Position,Attendance,TeamA_win_sum,TeamA_loss_sum,sum_goals_A,TeamA_draw_sum,TeamB_win_sum,TeamB_loss_sum,sum_goals_B,TeamB_draw_sum,Match_hour,Match_minute,Match_month,Match_day,Match_year,Match_day_name,Match_date_hijri_day,Match_date_hijri_month,feelslike,feelslikemax,feelslikemin,temp max:,temp min:,humidity:,precip:,preciptype:,visibility:,solarradiation:,solarenergy:,uvindex:,windspeed:,conditions:,description:
32,Al-Hilal Saudi FC,Al-Faisaly FC,King Fahd International Stadium,5,1,7,8318,1,1,3,0,0,0,1,1,7,0,10,15,2016,Saturday,14,1,26.3,33.2,19,36,19,16.2,0,,10,262.2,22.7,9,9.4,Clear,Clear conditions throughout the day.
39,Al-Raed,Al-Faisaly FC,King Abdullah Sport City Stadium,6,7,9,1723,2,1,8,0,0,1,1,1,5,10,10,21,2016,Friday,20,1,26.3,33.6,18.9,36,18.9,25.9,0,,10,251.1,21.7,9,22.3,Clear,Clear conditions throughout the day.
57,Al-Taawoun FC,Al-Faisaly FC,King Abdullah Sport City Stadium,9,10,9,4113,1,1,2,1,0,2,1,1,5,45,11,18,2016,Friday,18,2,21.4,29.1,13,31,13,30.5,0,,10,162.4,14,6,14.8,Clear,Clear conditions throughout the day.
63,Ettifaq FC,Al-Faisaly FC,Prince Saud bin Jalawi Stadium,10,6,11,2570,3,2,8,0,0,2,1,2,3,30,11,24,2016,Thursday,24,2,20.7,24,18.1,24,18.1,51.5,0,,9.4,143.8,12.5,6,23.4,Partially cloudy,Partly cloudy throughout the day.
85,Al-Batin FC,Al-Faisaly FC,Al-Batin Club Stadium,13,9,12,2927,2,1,4,2,0,3,2,2,3,5,12,15,2016,Thursday,16,3,13.7,16,8.8,16,9.6,72.9,0,,6.6,175.9,15.1,7,33.5,Clear,Clear conditions throughout the day.
94,Al-Khaleej,Al-Faisaly FC,Prince Saud bin Jalawi Stadium,14,11,12,126,0,5,7,1,0,3,2,3,3,30,12,22,2016,Thursday,23,3,17.1,22.9,12.2,22.9,12.2,62.8,0,,9.5,95.1,8,4,20,Clear,Clear conditions throughout the day.
108,Al-Fateh,Al-Faisaly FC,Prince Abdullah bin Jalawi Stadium,16,14,11,2207,1,4,8,2,0,3,3,4,4,5,1,27,2017,Friday,29,4,15.7,25.1,5.8,25.1,7.9,33.1,0,,8.2,194.4,16.9,7,37.1,Clear,Clear conditions throughout the day.
117,Al-Wehda FC,Al-Faisaly FC,King Abdul Aziz Stadium,17,14,11,2137,3,4,16,0,0,4,3,4,4,50,2,4,2017,Saturday,7,5,26.3,32.2,21.3,32,21.3,36.4,0,,9.4,206.4,17.8,8,20.5,Partially cloudy,Partly cloudy throughout the day.
134,Al-Nassr Riad,Al-Faisaly FC,Prince Faisal bin Fahad Stadium,20,2,11,11883,7,1,18,1,1,4,4,4,6,30,3,3,2017,Friday,4,6,20.5,26.7,14.1,26.7,14.1,42.8,0,,9.3,206.4,17.8,7,23.8,Partially cloudy,Partly cloudy throughout the day.
144,Al-Shabab Club (Riyadh),Al-Faisaly FC,King Fahd International Stadium,21,5,9,572,3,1,13,6,1,4,4,5,6,35,3,11,2017,Saturday,12,6,21.8,25,17,25,17,21.1,0,,6.5,127.2,11,4,25.9,Partially cloudy,Partly cloudy throughout the day.
163,Al-Ahli Saudi FC,Al-Faisaly FC,King Abdullah Sports City,24,3,8,3040,7,2,23,2,2,4,6,5,7,45,4,20,2017,Thursday,23,7,32.1,37.7,26.6,34.3,26.6,53,0,,9.9,300,26,10,22.1,Clear,Clear conditions throughout the day.
